# Coordinates of the key push via a pointer finger tip position (FIXED MID-AIR tests): #
# Where X position is left and right #
# Where Y position is up and down #
# Where Z position is forward and backward #
# ------------------------------------------------------- #
 
1650503034.42,Words Per Minute,ERROR WPM IS ZERO,186 FPS
1650503034.42,Backspace Per Output Character,ERROR NO SENTENCE TYPED,186 FPS
1650503034.42,Button Pushed,NEXT,186 FPS

1650503034.424,Average Character Error Rate,100.00%,186 FPS
1650503034.424,Maximum Character Error Rate,100.00%,186 FPS
1650503034.424,Minimum Character Error Rate,100.00%,186 FPS

1650503034.424,Average Words Per Minute,NaN,186 FPS
1650503034.424,Maximum Words Per Minute,0.00,186 FPS
1650503034.424,Minimum Words Per Minute,0.00,186 FPS

1650503034.424,Average Backspace Per Output Character,NaN,186 FPS
1650503034.424,Maximum Backspace Per Output Character,-2147483648.0000,186 FPS
1650503034.424,Minimum Backspace Per Output Character,2147483647.0000,186 FPS

1650503035.21,Button Pushed,NEXT SCENARIO,160 FPS


