# Coordinates of the key push via a pointer finger tip position (HORIZONTAL QR tests): #
# Where X position is left and right #
# Where Y position is up and down #
# Where Z position is forward and backward #
# ------------------------------------------------------- #
 
1662554559.205,Backspace Per Output Character,ERROR NO SENTENCE TYPED,132 FPS
1662554559.205,Button Pushed,NEXT,132 FPS

1662554559.208,Average Character Error Rate,100.00%,132 FPS
1662554559.208,Maximum Character Error Rate,100.00%,132 FPS
1662554559.208,Minimum Character Error Rate,100.00%,132 FPS

1662554559.209,Average Words Per Minute,NaN,132 FPS
1662554559.209,Maximum Words Per Minute,0.00,132 FPS
1662554559.209,Minimum Words Per Minute,0.00,132 FPS

1662554559.209,Average Backspace Per Output Character,NaN,132 FPS
1662554559.209,Maximum Backspace Per Output Character,-2147483648.0000,132 FPS
1662554559.209,Minimum Backspace Per Output Character,2147483647.0000,132 FPS

1662554560.07,Button Pushed,NEXT SCENARIO,198 FPS


