# Coordinates of the key push via a pointer finger tip position (FIXED MID-AIR tests): #
# Where X position is left and right #
# Where Y position is up and down #
# Where Z position is forward and backward #
# ------------------------------------------------------- #
 
1662555135.202,Condition,MID-AIR FIXED,205 FPS
1662555135.203,Participant ID,5,205 FPS
1662555135.203,Date,9/7/2022,205 FPS
1662555135.208,Time,8:52 AM,205 FPS

1662555135.208,Button Pushed,BEGIN,205 FPS
1662555521.881,Button Pushed,START,135 FPS

1662555521.881,Sentence to type (Practice),What a pain.,135 FPS
1662555522.05,Sentence typed,,161 FPS
1662555522.05,Character Error Rate,100.00%,161 FPS
1662555522.05,Words Per Minute,ERROR WPM IS ZERO,161 FPS
1662555522.05,Backspace Per Output Character,ERROR NO SENTENCE TYPED,161 FPS
1662555522.05,Button Pushed,NEXT,161 FPS

1662555524.657,Sentence to type (Practice),What's your proposal?,109 FPS
1662555525.112,Sentence typed,,156 FPS
1662555525.112,Character Error Rate,100.00%,156 FPS
1662555525.112,Words Per Minute,ERROR WPM IS ZERO,156 FPS
1662555525.112,Backspace Per Output Character,ERROR NO SENTENCE TYPED,156 FPS
1662555525.112,Button Pushed,NEXT,156 FPS

1662555528.213,Sentence to type (1/12),I am trying again.,207 FPS
1662555529.303,Key Pushed,t        ,(X: 0.1357 Y: -0.7451 Z: -1.8553),105 FPS
1662555529.536,Key Pushed,j        ,(X: 0.1357 Y: -0.7451 Z: -1.8553),85 FPS
1662555529.731,Key Pushed,k        ,(X: 0.1357 Y: -0.7451 Z: -1.8553),120 FPS
1662555530.648,Key Pushed,RSHIFT   ,(X: 0.1357 Y: -0.7451 Z: -1.8553),117 FPS
1662555531.893,Sentence typed,tjk,181 FPS
1662555531.894,Time in Milliseconds,1240,181 FPS
1662555531.895,Character Error Rate,94.44%,181 FPS
1662555531.895,Words Per Minute,19.35,181 FPS
1662555531.895,Backspace Per Output Character,0.0000,181 FPS
1662555531.895,Button Pushed,NEXT,181 FPS

1662555534.239,Sentence to type (2/12),Not at this time.,237 FPS
1662555534.901,Sentence typed,,168 FPS
1662555534.901,Time in Milliseconds,654,168 FPS
1662555534.901,Character Error Rate,100.00%,168 FPS
1662555534.901,Words Per Minute,ERROR WPM IS ZERO,168 FPS
1662555534.901,Backspace Per Output Character,ERROR NO SENTENCE TYPED,168 FPS
1662555534.902,Button Pushed,NEXT,168 FPS

1662555537.252,Sentence to type (3/12),Mike, are you aware of this?,202 FPS
1662555537.668,Sentence typed,,169 FPS
1662555537.669,Time in Milliseconds,410,169 FPS
1662555537.669,Character Error Rate,100.00%,169 FPS
1662555537.669,Words Per Minute,ERROR WPM IS ZERO,169 FPS
1662555537.669,Backspace Per Output Character,ERROR NO SENTENCE TYPED,169 FPS
1662555537.669,Button Pushed,NEXT,169 FPS

1662555540.001,Sentence to type (4/12),Are you feeling better?,200 FPS
1662555540.241,Sentence typed,,175 FPS
1662555540.242,Time in Milliseconds,234,175 FPS
1662555540.242,Character Error Rate,100.00%,175 FPS
1662555540.242,Words Per Minute,ERROR WPM IS ZERO,175 FPS
1662555540.242,Backspace Per Output Character,ERROR NO SENTENCE TYPED,175 FPS
