# Coordinates of the key push via a pointer finger tip position (VERTICAL QR tests): #
# Where X position is left and right #
# Where Y position is up and down #
# Where Z position is forward and backward #
# ------------------------------------------------------- #
 
1650067034.317,Condition,VERTICAL QR,222 FPS
1650067034.317,Participant ID,2,222 FPS
1650067034.317,Date,4/15/2022,222 FPS
1650067034.317,Time,7:57 PM,222 FPS

1650067034.317,Button Pushed,BEGIN,222 FPS
1650067317.392,Key Pushed,c        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),166 FPS
1650067318.34,Key Pushed,a        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),175 FPS
1650067320.538,Key Pushed,l        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),148 FPS
1650067321.358,Key Pushed,i        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),191 FPS
1650067322.376,Key Pushed,b        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),131 FPS
1650067323.425,Key Pushed,r        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),151 FPS
1650067324.358,Key Pushed,a        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),106 FPS
1650067325.11,Key Pushed,t        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),145 FPS
1650067325.616,Key Pushed,e        ,(X: 0.0127 Y: -1.3007 Z: -0.0757),176 FPS
1650067325.616,End Calibrating
Button Pushed: Calibrate

1650067327.403,Button Pushed,START,163 FPS

1650067327.403,Sentence to type (Practice),She has absolutely everything.,163 FPS
1650067329.789,Sentence typed,,169 FPS
1650067329.789,Character Error Rate,100.00%,169 FPS
1650067329.789,Words Per Minute,ERROR WPM IS ZERO,169 FPS
1650067329.789,Backspace Per Output Character,ERROR NO SENTENCE TYPED,169 FPS
1650067329.789,Button Pushed,NEXT,169 FPS

1650067332.157,Sentence to type (Practice),How are you?,233 FPS
1650067334.672,Sentence typed,,181 FPS
1650067334.672,Character Error Rate,100.00%,181 FPS
1650067334.672,Words Per Minute,ERROR WPM IS ZERO,181 FPS
1650067334.672,Backspace Per Output Character,ERROR NO SENTENCE TYPED,181 FPS
1650067334.672,Button Pushed,NEXT,181 FPS

1650067337.067,Sentence to type (1/12),How soon do you need it?,189 FPS
1650067339.777,Sentence typed,,190 FPS
1650067339.777,Character Error Rate,100.00%,190 FPS
1650067339.777,Words Per Minute,ERROR WPM IS ZERO,190 FPS
1650067339.777,Backspace Per Output Character,ERROR NO SENTENCE TYPED,190 FPS
1650067339.777,Button Pushed,NEXT,190 FPS

1650067342.437,Sentence to type (2/12),Sorry about that!,193 FPS
1650067344.636,Sentence typed,,169 FPS
1650067344.636,Character Error Rate,100.00%,169 FPS
1650067344.636,Words Per Minute,ERROR WPM IS ZERO,169 FPS
1650067344.636,Backspace Per Output Character,ERROR NO SENTENCE TYPED,169 FPS
1650067344.636,Button Pushed,NEXT,169 FPS

1650067347.004,Sentence to type (3/12),I am at the lake.,116 FPS
1650067349.314,Sentence typed,,184 FPS
1650067349.314,Character Error Rate,100.00%,184 FPS
1650067349.314,Words Per Minute,ERROR WPM IS ZERO,184 FPS
1650067349.314,Backspace Per Output Character,ERROR NO SENTENCE TYPED,184 FPS
1650067349.314,Button Pushed,NEXT,184 FPS

